District_Name,UnitName,FIRST_YEAR,LAST_YEAR,YEARS_RECORDED,TOTAL_FIRs,HEINOUS_FIRs,NON_HEINOUS_FIRs,HEINOUS_RATIO,FIRs_PER_YEAR,CRIME_VOLUME_SCALED,RISK_SCORE_NORM,SAFETY_INDEX,Latitude_mean,Longitude_mean,,,,
BAGALKOT,BAGALKOT CEN CRIME PS,2019,2024,6,158,81,77,51.26582278,26.33333333,0.003901448,0.023585782,97.64142184,16.2253451,75.55160245,2,24.30273101,0.3,0.023585782
BAGALKOT,BAGALKOT WOMEN PS,2019,2024,6,168,108,60,64.28571429,28,0.004168671,0.031545261,96.84547391,16.16684994,75.67418765,6239,32.40291807,1017.977578,0.031545261
BAGALKOT,BAGALKOT TRAFFIC PS,2019,2024,5,289,165,124,57.09342561,57.8,0.008946609,0.048351505,95.16484953,16.17219057,75.66452364,,49.50626263,,0.048351505
BAGALKOT,GULEDAGUDDA PS,2019,2024,6,501,272,229,54.29141717,83.5,0.01306718,0.079896733,92.01032674,15.89742465,75.69628072,430,81.60914703,,0.079896733
BAGALKOT,ILAKAL PS,2019,2024,6,537,287,250,53.44506518,89.5,0.014029181,0.084319225,91.56807748,15.77775508,76.08536392,,86.10982043,,0.084319225
BAGALKOT,JAMAKHANDI TOWN PS,2019,2024,6,582,306,276,52.57731959,97,0.015231682,0.089921038,91.00789619,16.47555161,75.27399042,,91.81066218,,0.089921038
BAGALKOT,TERADAL PS,2019,2024,6,588,320,268,54.42176871,98,0.015392015,0.09404819,90.59518095,16.47764447,75.06294463,,96.01077441,,0.09404819
BAGALKOT,ILAKAL RURAL PS,2019,2024,6,608,331,277,54.44078947,101.3333333,0.01592646,0.097291234,90.27087659,15.98425414,76.17281252,,99.31114852,,0.097291234
BAGALKOT,MAHALINGAPUR PS,2019,2024,6,600,334,266,55.66666667,100,0.015712682,0.098175453,90.18245468,16.38149127,75.10491679,,100.2109989,,0.098175453
BAGALKOT,SAVALGI PS,2019,2024,6,626,350,276,55.91054313,104.3333333,0.016407461,0.102892551,89.71074493,16.62135759,75.37891467,,105.0114852,,0.102892551
BAGALKOT,KALADAGI PS,2019,2024,6,670,379,291,56.56716418,111.6666667,0.01758324,0.111442232,88.85577675,16.18992018,75.54561532,,113.7123083,,0.111442232
BAGALKOT,BAGALKOT TOWN PS,2016,2024,9,1154,595,559,51.55979203,128.2222222,0.02023765,0.175118423,82.48815771,16.18035338,75.67091253,,178.5141664,,0.175118423
BAGALKOT,NAVANAGARA PS,2019,2024,6,765,398,367,52.02614379,127.5,0.020121853,0.117044964,88.29550356,16.16178224,75.65899544,,119.4140853,,0.117044964
BAGALKOT,BANAHATTI PS,2019,2024,6,741,413,328,55.73549258,123.5,0.019480519,0.121466354,87.85336458,16.46145414,75.16840797,,123.9136364,,0.121466354
BAGALKOT,LOKAPUR PS,2019,2024,6,735,413,322,56.19047619,122.5,0.019320186,0.121466244,87.85337561,16.1871618,75.33088771,,123.9135241,,0.121466244
BAGALKOT,KERUR PS,2019,2024,6,874,480,394,54.91990847,145.6666667,0.023034579,0.141219643,85.87803567,16.04516568,75.53196632,,144.0161242,,0.141219643
BAGALKOT,HUNGUNDA PS,2019,2024,5,763,421,342,55.17693316,152.6,0.024146224,0.123827873,87.61721268,16.10147838,76.04861207,,126.3169024,,0.123827873
BAGALKOT,JAMAKHANDI RURAL PS,2019,2024,6,936,531,405,56.73076923,156,0.024691358,0.156255008,84.37449921,16.50253377,75.29022944,,159.317284,,0.156255008
BAGALKOT,AMENGAD PS,2019,2024,6,972,542,430,55.76131687,162,0.025653359,0.159498346,84.05016544,16.04492472,75.89585676,,162.6179574,,0.159498346
BAGALKOT,BILAGI PS,2019,2024,6,1007,575,432,57.10029791,167.8333333,0.026588638,0.169227017,83.07729832,16.34809253,75.56619914,,172.518612,,0.169227017
BAGALKOT,BADAMI PS,2019,2024,6,1106,629,477,56.8716094,184.3333333,0.02923414,0.185147428,81.48525723,15.90913669,75.64270688,,188.7204639,,0.185147428
BAGALKOT,BAGALKOT RURAL PS,2019,2024,6,1203,666,537,55.36159601,200.5,0.031826198,0.196056393,80.39436066,16.2025967,75.80148581,,199.8222783,,0.196056393
BAGALKOT,MUDHOL PS,2019,2024,6,1994,1119,875,56.11835507,332.3333333,0.052963497,0.329610225,67.03897751,16.33733432,75.28325172,,335.7370744,,0.329610225
BALLARI,GADIGANUR PS,2020,2021,2,14,8,6,57.14285714,7,0.000801667,0.002064072,99.79359275,15.17599888,76.59858874,,2.400561167,,0.002064072
BALLARI,BALLARI CEN CRIME PS,2019,2024,5,106,53,53,50,21.2,0.003078403,0.015331131,98.46688689,15.12536151,76.68897855,,15.90215488,,0.015331131
BALLARI,P.D. HALLI PS,2020,2024,4,128,69,59,53.90625,32,0.004810005,0.020048942,97.99510582,15.13859533,77.07900461,,20.703367,,0.020048942
BALLARI,GANDHINAGAR PS,2017,2024,5,190,96,94,50.52631579,38,0.005772006,0.028008899,97.19911009,15.1565629,76.91364665,,28.8040404,,0.028008899
BALLARI,HATCHOLLI PS,2021,2024,3,123,63,60,51.2195122,41,0.006253006,0.018281202,98.1718798,15.75699425,76.98759764,,18.9043771,,0.018281202
