District_Name,UnitName,FIRST_YEAR,LAST_YEAR,YEARS_RECORDED,TOTAL_FIRs,HEINOUS_FIRs,NON_HEINOUS_FIRs,HEINOUS_RATIO,FIRs_PER_YEAR,CRIME_VOLUME_SCALED,RISK_SCORE_NORM,SAFETY_INDEX,Latitude_mean,Longitude_mean,RISK_LEVEL
BAGALKOT,BAGALKOT CEN CRIME PS,2019,2024,6,158,81,77,1,13.5,0.028763971,0.028763971,97.12,16.2253451,75.55160245,LOW
BAGALKOT,BAGALKOT WOMEN PS,2019,2024,6,168,108,60,1,18,0.039119001,0.039119001,96.09,16.16684994,75.67418765,LOW
BAGALKOT,BAGALKOT TRAFFIC PS,2019,2024,5,289,165,124,1,33,0.073635766,0.073635766,92.64,16.17219057,75.66452364,LOW
BAGALKOT,GULEDAGUDDA PS,2019,2024,6,501,272,229,1,45.33,0.102016217,0.102016217,89.8,15.89742465,75.69628072,LOW
BAGALKOT,ILAKAL PS,2019,2024,6,537,287,250,1,47.83,0.107769012,0.107769012,89.22,15.77775508,76.08536392,LOW
BAGALKOT,JAMAKHANDI TOWN PS,2019,2024,6,582,306,276,1,51,0.115055884,0.115055884,88.49,16.47555161,75.27399042,LOW
BAGALKOT,TERADAL PS,2019,2024,6,588,320,268,1,53.33,0.120425159,0.120425159,87.96,16.47764447,75.06294463,LOW
BAGALKOT,ILAKAL RURAL PS,2019,2024,6,608,331,277,1,55.17,0.124643875,0.124643875,87.54,15.98425414,76.17281252,LOW
BAGALKOT,MAHALINGAPUR PS,2019,2024,6,600,334,266,1,55.67,0.125794433,0.125794433,87.42,16.38149127,75.10491679,LOW
BAGALKOT,SAVALGI PS,2019,2024,6,626,350,276,1,58.33,0.131930747,0.131930747,86.81,16.62135759,75.37891467,LOW
BAGALKOT,KALADAGI PS,2019,2024,6,670,379,291,1,63.17,0.143052816,0.143052816,85.69,16.18992018,75.54561532,MEDIUM
BAGALKOT,BAGALKOT TOWN PS,2016,2024,9,1154,595,559,1,66.11,0.149828329,0.149828329,85.02,16.18035338,75.67091253,MEDIUM
BAGALKOT,NAVANAGARA PS,2019,2024,6,765,398,367,1,66.33,0.150339689,0.150339689,84.97,16.16178224,75.65899544,MEDIUM
BAGALKOT,BANAHATTI PS,2019,2024,6,741,413,328,1,68.83,0.156092483,0.156092483,84.39,16.46145414,75.16840797,MEDIUM
BAGALKOT,LOKAPUR PS,2019,2024,6,735,413,322,1,68.83,0.156092483,0.156092483,84.39,16.1871618,75.33088771,MEDIUM
BAGALKOT,KERUR PS,2019,2024,6,874,480,394,1,80,0.181788297,0.181788297,81.82,16.04516568,75.53196632,MEDIUM
BAGALKOT,HUNGUNDA PS,2019,2024,5,763,421,342,1,84.2,0.191452991,0.191452991,80.85,16.10147838,76.04861207,MEDIUM
BAGALKOT,JAMAKHANDI RURAL PS,2019,2024,6,936,531,405,1,88.5,0.201347798,0.201347798,79.87,16.50253377,75.29022944,MEDIUM
