District_Name,UnitName,year,firs
BAGALKOT,BAGALKOT CEN CRIME PS,2019,10.8
BAGALKOT,BAGALKOT CEN CRIME PS,2020,11.88
BAGALKOT,BAGALKOT CEN CRIME PS,2021,12.96
BAGALKOT,BAGALKOT CEN CRIME PS,2022,14.04
BAGALKOT,BAGALKOT CEN CRIME PS,2023,15.12
BAGALKOT,BAGALKOT CEN CRIME PS,2024,16.2
BAGALKOT,BAGALKOT WOMEN PS,2019,14.4
BAGALKOT,BAGALKOT WOMEN PS,2020,15.84
BAGALKOT,BAGALKOT WOMEN PS,2021,17.28
BAGALKOT,BAGALKOT WOMEN PS,2022,18.72
BAGALKOT,BAGALKOT WOMEN PS,2023,20.16
BAGALKOT,BAGALKOT WOMEN PS,2024,21.6
BAGALKOT,BAGALKOT TRAFFIC PS,2019,26.4
BAGALKOT,BAGALKOT TRAFFIC PS,2020,29.04
BAGALKOT,BAGALKOT TRAFFIC PS,2021,31.68
BAGALKOT,BAGALKOT TRAFFIC PS,2022,34.32
BAGALKOT,BAGALKOT TRAFFIC PS,2023,36.96
BAGALKOT,BAGALKOT TRAFFIC PS,2024,39.6
BAGALKOT,GULEDAGUDDA PS,2019,36.27
BAGALKOT,GULEDAGUDDA PS,2020,39.89
BAGALKOT,GULEDAGUDDA PS,2021,43.52
BAGALKOT,GULEDAGUDDA PS,2022,47.15
BAGALKOT,GULEDAGUDDA PS,2023,50.77
BAGALKOT,GULEDAGUDDA PS,2024,54.4
BAGALKOT,ILAKAL PS,2019,38.27
BAGALKOT,ILAKAL PS,2020,42.09
BAGALKOT,ILAKAL PS,2021,45.92
BAGALKOT,ILAKAL PS,2022,49.75
BAGALKOT,ILAKAL PS,2023,53.57
BAGALKOT,ILAKAL PS,2024,57.4
BAGALKOT,JAMAKHANDI TOWN PS,2019,40.8
BAGALKOT,JAMAKHANDI TOWN PS,2020,44.88
BAGALKOT,JAMAKHANDI TOWN PS,2021,48.96
BAGALKOT,JAMAKHANDI TOWN PS,2022,53.04
BAGALKOT,JAMAKHANDI TOWN PS,2023,57.12
BAGALKOT,JAMAKHANDI TOWN PS,2024,61.2
BAGALKOT,TERADAL PS,2019,42.67
BAGALKOT,TERADAL PS,2020,46.93
BAGALKOT,TERADAL PS,2021,51.2
BAGALKOT,TERADAL PS,2022,55.47
BAGALKOT,TERADAL PS,2023,59.73
BAGALKOT,TERADAL PS,2024,64.0
BAGALKOT,ILAKAL RURAL PS,2019,44.13
BAGALKOT,ILAKAL RURAL PS,2020,48.55
BAGALKOT,ILAKAL RURAL PS,2021,52.96
BAGALKOT,ILAKAL RURAL PS,2022,57.37
BAGALKOT,ILAKAL RURAL PS,2023,61.79
BAGALKOT,ILAKAL RURAL PS,2024,66.2
