District_Name,UnitName,predicted_FIRs_next_year,trend_direction
BAGALKOT,BAGALKOT CEN CRIME PS,17.28,increasing
BAGALKOT,BAGALKOT WOMEN PS,23.04,increasing
BAGALKOT,BAGALKOT TRAFFIC PS,42.24,increasing
BAGALKOT,GULEDAGUDDA PS,58.03,increasing
BAGALKOT,ILAKAL PS,61.23,increasing
BAGALKOT,JAMAKHANDI TOWN PS,65.28,increasing
BAGALKOT,TERADAL PS,68.27,increasing
BAGALKOT,ILAKAL RURAL PS,70.61,increasing
BAGALKOT,MAHALINGAPUR PS,71.25,increasing
BAGALKOT,SAVALGI PS,74.67,increasing
BAGALKOT,KALADAGI PS,80.85,increasing
BAGALKOT,BAGALKOT TOWN PS,82.64,increasing
BAGALKOT,NAVANAGARA PS,84.91,increasing
BAGALKOT,BANAHATTI PS,88.11,increasing
BAGALKOT,LOKAPUR PS,88.11,increasing
BAGALKOT,KERUR PS,102.4,increasing
BAGALKOT,HUNGUNDA PS,107.78,increasing
BAGALKOT,JAMAKHANDI RURAL PS,113.28,increasing
BAGALKOT,AMENGAD PS,115.63,increasing
BAGALKOT,BILAGI PS,122.67,increasing
BAGALKOT,BADAMI PS,134.19,increasing
BAGALKOT,BAGALKOT RURAL PS,142.08,increasing
BAGALKOT,MUDHOL PS,238.72,increasing
BALLARI,GADIGANUR PS,6.4,increasing
BALLARI,BALLARI CEN CRIME PS,13.57,increasing
BALLARI,P.D. HALLI PS,22.42,increasing
BALLARI,GANDHINAGAR PS,24.14,increasing
BALLARI,HATCHOLLI PS,28.0,increasing
BALLARI,BELLARY TRAFFIC PS,29.9,increasing
BALLARI,COWLBAZAR PS,30.22,increasing
BALLARI,BALLARI WOMEN PS,30.98,increasing
BALLARI,CHORANURU PS,34.53,increasing
BALLARI,SANDUR PS,32.0,increasing
BALLARI,THORANAGAL PS,33.69,increasing
BALLARI,KUDUTHINI PS,36.4,increasing
BALLARI,TEKKALKOTA PS,43.56,increasing
BALLARI,APMC YARD PS,53.6,increasing
BALLARI,KURUGOD PS,43.52,increasing
BALLARI,KAMPLI PS,50.7,increasing
BALLARI,SIRIGERI PS,67.41,increasing
BALLARI,SIRUGUPPA PS,75.67,increasing
BALLARI,BRUCEPET PS,77.57,increasing
BALLARI,MOKA PS,81.92,increasing
BALLARI,BELLARY RURAL PS,95.23,increasing
BELAGAVI CITY,BELAGAVI CITY CEN CRIME PS,49.94,increasing
BELAGAVI CITY,KHADEBAZAR PS,58.37,increasing
BELAGAVI CITY,UDYAMBAG PS,61.65,increasing
BELAGAVI CITY,BELAGAVI CITY WOMEN PS,72.11,increasing
BELAGAVI CITY,CAMP PS,77.23,increasing
BELAGAVI CITY,TILAKWADI PS,83.51,increasing
BELAGAVI CITY,BELGAUM SOUTH TRAFFIC PS,89.57,increasing
BELAGAVI CITY,SHAHAPURA PS,95.57,increasing
BELAGAVI CITY,BAGEWADI PS,100.79,increasing
BELAGAVI CITY,BELGAUM NORTH TRAFFIC PS,104.41,increasing
BELAGAVI CITY,MALAMARUTHI PS,131.2,increasing
BELAGAVI CITY,MARIHAL PS,133.12,increasing
BELAGAVI CITY,APMC YARD PS,139.09,increasing
BELAGAVI CITY,MARKET PS,172.59,increasing
BELAGAVI CITY,BELAGAVI RURAL PS,176.64,increasing
BELAGAVI CITY,KAKATI PS,197.55,increasing
BELAGAVI DIST,BELAGAVI WOMEN PS,5.6,increasing
BELAGAVI DIST,BELAGAVI CEN CRIME PS,29.65,increasing
BELAGAVI DIST,BASAWESHWAR CHOWK PS,56.75,increasing
BELAGAVI DIST,CHIKKODI TOWN TRAFFIC PS,59.95,increasing
BELAGAVI DIST,ANKALGI PS,69.12,increasing
BELAGAVI DIST,KHADAKALAT PS,69.12,increasing
BELAGAVI DIST,ANKALI PS,87.89,increasing
BELAGAVI DIST,DODDAWAD PS,89.17,increasing
BELAGAVI DIST,NESARGI PS,91.73,increasing
BELAGAVI DIST,NIPPANI RURAL PS,95.36,increasing
BELAGAVI DIST,NIPPANI TOWN PS,100.91,increasing
BELAGAVI DIST,GOKAK TOWN PS,122.14,increasing
BELAGAVI DIST,KUDACHI PS,135.68,increasing
BELAGAVI DIST,KULGOD PS,143.15,increasing
BELAGAVI DIST,NANDAGAD PS,147.2,increasing
BELAGAVI DIST,SADALAGA PS,148.05,increasing
BELAGAVI DIST,AIGALI PS,150.4,increasing
BELAGAVI DIST,MUDALGI PS,154.88,increasing
BELAGAVI DIST,KAGWAD PS,153.81,increasing
BELAGAVI DIST,HUKKERI PS,167.04,increasing
BELAGAVI DIST,KATKOL PS,171.95,increasing
BELAGAVI DIST,KITTUR PS,175.15,increasing
BELAGAVI DIST,RAMADURGA PS,175.15,increasing
BELAGAVI DIST,GOKAK RURAL PS,181.33,increasing
BELAGAVI DIST,HARUGERI PS,188.37,increasing
BELAGAVI DIST,MURGOD PS,207.27,increasing
BELAGAVI DIST,KHANAPUR PS,217.17,increasing
BELAGAVI DIST,CHIKKODI PS,220.59,increasing
BELAGAVI DIST,SANKESHWAR PS,221.01,increasing
BELAGAVI DIST,YAMAKANMARDI PS,224.21,increasing
BELAGAVI DIST,GHATAPRABHA PS,246.83,increasing
BELAGAVI DIST,RAIBAG PS,255.79,increasing
BELAGAVI DIST,BAILAHONGAL PS,280.32,increasing
BELAGAVI DIST,ATHANI PS,330.63,increasing
BELAGAVI DIST,SOUNDATTI PS,345.81,increasing
BENGALURU CITY,WEST WOMEN PS,2.4,stable
BENGALURU CITY,CYBER CRIME POLICE STATION,11.2,increasing
BENGALURU CITY,HULIMAVU TRAFFIC PS,13.61,increasing
BENGALURU CITY,CUBBONPARK TRAFFIC PS,18.18,increasing
BENGALURU CITY,CHICKABANAVARA TRAFFIC PS,12.8,stable
BENGALURU CITY,HIGH GROUNDS TRAFFIC PS,20.97,increasing
BENGALURU CITY,JAYANAGAR TRAFFIC PS,21.25,increasing
BENGALURU CITY,WILSONGARDEN TRAFFIC PS,21.88,increasing
BENGALURU CITY,ADUGODI TRAFFIC PS,22.64,increasing
BENGALURU CITY,ASHOKNAGAR TRAFFIC PS,22.92,increasing
BENGALURU CITY,CHIKKAJALA TRAFFIC PS,23.12,increasing
BENGALURU CITY,SHIVAJINAGAR PS,23.52,increasing
BENGALURU CITY,BANASAWADI TRAFFIC PS,23.59,increasing
BENGALURU CITY,PULAKESHINAGAR TRAFFIC PS,24.2,increasing
BENGALURU CITY,BASAVANAGUDI WOMEN PS,28.7,increasing
BENGALURU CITY,PUTTENAHALLI PS,31.27,increasing
BENGALURU CITY,MICO LAYOUT TRAFFIC PS,32.34,increasing
BENGALURU CITY,MALLESHWARAM TRAFFIC PS,34.2,increasing
BENGALURU CITY,VICTORIA HOSPITAL PS,21.6,stable
BENGALURU CITY,AIRPORT TRAFFIC PS,36.11,increasing
BENGALURU CITY,K G HALLI TRAFFIC PS,37.09,increasing
BENGALURU CITY,DEVANAHALLI PS,37.71,increasing
BENGALURU CITY,JEEVAN BHIMA NAGAR (INDIRANAGAR) TRAFFIC PS,38.4,increasing
BENGALURU CITY,JAYAPRAKASH NAGAR PS,37.87,increasing
BENGALURU CITY,SIDDAPURA PS,37.92,increasing
BENGALURU CITY,KAMAKSHIPALYA TRAFFIC PS,38.81,increasing
BENGALURU CITY,CHICKPET TRAFFIC PS,38.97,increasing
BENGALURU CITY,HALASUR GATE TRAFFIC PS,40.69,increasing
BENGALURU CITY,BHARATHI NAGAR PS,41.25,increasing
BENGALURU CITY,GANGAMMANA GUDI PS,41.41,increasing
BENGALURU CITY,THILAKNAGAR PS,42.5,increasing
BENGALURU CITY,THALAGHATTAPURA PS,45.16,increasing
BENGALURU CITY,KODIGEHALLI PS,46.04,increasing
BENGALURU CITY,EAST ZONE WOMEN PS,46.0,increasing
BENGALURU CITY,HENNUR TRAFFIC PS,60.0,increasing
